"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Multiple Services Appointment Booking","Test different mileage selections","0","4","0","0","0"
"","Multiple Services Appointment Booking","Multiple services form validation and dropdown testing","0","1","0","0","0"
"","Multiple Services Appointment Booking","Multiple services appointment without file upload","0","1","0","0","0"
"","Vehicle Appointment Booking","Appointment booking without file upload","0","0","1","0","0"
"","Intervention Scheduling in Backoffice","View and filter intervention requests","0","0","1","0","0"
"","Multiple Services Appointment Booking","Test different service combinations","0","1","0","0","0"
"","Vehicle Appointment Booking","Complete appointment booking with validation","0","0","1","0","0"
"Backoffice Management","Intervention Scheduling","Calendar Constraints","0","0","1","0","0"
"","Intervention Scheduling in Backoffice","Schedule intervention in calendar","1","0","0","0","0"
"Vehicle Appointment Booking","End-to-End Diagnostic Service Appointment Flow","Complete Multiple Services Appointment Flow","0","1","0","0","0"
"Backoffice Management","Intervention Scheduling","Drag and Drop","0","0","1","0","0"
"Vehicle Appointment Booking","End-to-End Diagnostic Service Appointment Flow","Complete Appointment Flow with All Scenarios","0","1","0","0","0"
"Backoffice Management","Intervention Scheduling","Calendar Scheduling","0","1","0","0","0"
"","Multiple Services Appointment Booking","Complete multiple services appointment booking","0","1","0","0","0"
"","Vehicle Appointment Booking","Vehicle identification form validation","0","0","1","0","0"
